"","Title","Author","Subject","Abstract","Meta"
"70","Depth Estimation using Weighted-loss and Transfer Learning","Muhammad Adeel Hafeez, Michael G. Madden, Ganesh Sistu, Ihsan Ullah","Computer Vision and Pattern Recognition (cs.CV)","Depth estimation from 2D images is a common computer vision task that has applications in many fields including autonomous vehicles, scene understanding and robotics. The accuracy of a supervised depth estimation method mainly relies on the chosen loss function, the model architecture, quality of data and performance metrics. In this study, we propose a simplified and adaptable approach to improve depth estimation accuracy using transfer learning and an optimized loss function. The optimized loss function is a combination of weighted losses to which enhance robustness and generalization: Mean Absolute Error (MAE), Edge Loss and Structural Similarity Index (SSIM). We use a grid search and a random search method to find optimized weights for the losses, which leads to an improved model. We explore multiple encoder-decoder-based models including DenseNet121, DenseNet169, DenseNet201, and EfficientNet for the supervised depth estimation model on NYU Depth Dataset v2. We observe that the EfficientNet model, pre-trained on ImageNet for classification when used as an encoder, with a simple upsampling decoder, gives the best results in terms of RSME, REL and log10: 0.386, 0.113 and 0.049, respectively. We also perform a qualitative analysis which illustrates that our model produces depth maps that closely resemble ground truth, even in cases where the ground truth is flawed. The results indicate significant improvements in accuracy and robustness, with EfficientNet being the most successful architecture.","Thu, 11 Apr 2024 12:25:54 UTC (2,233 KB)"
"71","Run-time Monitoring of 3D Object Detection in Automated Driving Systems Using Early Layer Neural Activation Patterns","Hakan Yekta Yatbaz, Mehrdad Dianati, Konstantinos Koufos, Roger Woodman","Computer Vision and Pattern Recognition (cs.CV)","Monitoring the integrity of object detection for errors within the perception module of automated driving systems (ADS) is paramount for ensuring safety. Despite recent advancements in deep neural network (DNN)-based object detectors, their susceptibility to detection errors, particularly in the less-explored realm of 3D object detection, remains a significant concern. State-of-the-art integrity monitoring (also known as introspection) mechanisms in 2D object detection mainly utilise the activation patterns in the final layer of the DNN-based detector's backbone. However, that may not sufficiently address the complexities and sparsity of data in 3D object detection. To this end, we conduct, in this article, an extensive investigation into the effects of activation patterns extracted from various layers of the backbone network for introspecting the operation of 3D object detectors. Through a comparative analysis using Kitti and NuScenes datasets with PointPillars and CenterPoint detectors, we demonstrate that using earlier layers' activation patterns enhances the error detection performance of the integrity monitoring system, yet increases computational complexity. To address the real-time operation requirements in ADS, we also introduce a novel introspection method that combines activation patterns from multiple layers of the detector's backbone and report its performance.","Thu, 11 Apr 2024 12:24:47 UTC (10,043 KB)"
"72","Merger Analysis with Latent Price","Paul Koh","Econometrics (econ.EM)","Standard empirical tools for merger analysis assume price data, which may not be readily available. This paper characterizes sufficient conditions for identifying the unilateral effects of mergers without price data. I show that revenues, margins, and revenue diversion ratios are sufficient for identifying the gross upward pricing pressure indices, impact on consumer/producer surplus, and compensating marginal cost reductions associated with a merger. I also describe assumptions on demand that facilitate the identification of revenue diversion ratios and merger simulations. I use the proposed framework to evaluate the Staples/Office Depot merger (2016).","Thu, 11 Apr 2024 12:23:57 UTC (43 KB)"
"73","Consistent Distribution Free Affine Invariant Tests for the Validity of Independent Component Models","Marc Hallin, Simos G. Meintanis, Klaus Nordhausen","Methodology (stat.ME)","We propose a family of tests of the validity of the assumptions underlying independent component analysis methods. The tests are formulated as L2-type procedures based on characteristic functions and involve weights; a proper choice of these weights and the estimation method for the mixing matrix yields consistent and affine-invariant tests. Due to the complexity of the asymptotic null distribution of the resulting test statistics, implementation is based on permutational and resampling strategies. This leads to distribution-free procedures regardless of whether these procedures are performed on the estimated independent components themselves or the componentwise ranks of their components. A Monte Carlo study involving various estimation methods for the mixing matrix, various weights, and a competing test based on distance covariance is conducted under the null hypothesis as well as under alternatives. A real-data application demonstrates the practical utility and effectiveness of the method.","Thu, 11 Apr 2024 10:48:23 UTC (593 KB)"
"74","Lower semicontinuity and existence results for anisotropic TV functionals with signed measure data","Eleonora Ficola, Thomas Schmidt","Analysis of PDEs (math.AP)","We study the minimization of anisotropic total variation functionals with additional measure terms among functions of bounded variation subject to a Dirichlet boundary condition. More specifically, we identify and characterize certain isoperimetric conditions, which prove to be sharp assumptions on the signed measure data in connection with semicontinuity, existence, and relaxation results. Furthermore, we present a variety of examples which elucidate our assumptions and results.","Thu, 11 Apr 2024 10:44:07 UTC (270 KB)"
"75","State-Space Modeling of Shape-constrained Functional Time Series","Daichi Hiraki, Yasuyuki Hamura, Kaoru Irie, Shonosuke Sugasawa","Applications (stat.AP)","Functional time series data frequently appears in economic applications, where the functions of interest are subject to some shape constraints, including monotonicity and convexity, as typical of the estimation of the Lorenz curve. This paper proposes a state-space model for time-varying functions to extract trends and serial dependence from functional time series while imposing the shape constraints on the estimated functions. The function of interest is modeled by a convex combination of selected basis functions to satisfy the shape constraints, where the time-varying convex weights on simplex follow the dynamic multi-logit models. For the complicated likelihood of this model, a novel data augmentation technique is devised to enable posterior computation by an efficient Markov chain Monte Carlo method. The proposed method is applied to the estimation of time-varying Lorenz curves, and its utility is illustrated through numerical experiments and analysis of panel data of household incomes in Japan.","Thu, 11 Apr 2024 09:17:30 UTC (1,484 KB)"
"76","M-scan: A Multi-Scenario Causal-driven Adaptive Network for Recommendation","Jiachen Zhu, Yichao Wang, Jianghao Lin, Jiarui Qin, Ruiming Tang, Weinan Zhang, Yong Yu","Information Retrieval (cs.IR)","We primarily focus on the field of multi-scenario recommendation, which poses a significant challenge in effectively leveraging data from different scenarios to enhance predictions in scenarios with limited data. Current mainstream efforts mainly center around innovative model network architectures, with the aim of enabling the network to implicitly acquire knowledge from diverse scenarios. However, the uncertainty of implicit learning in networks arises from the absence of explicit modeling, leading to not only difficulty in training but also incomplete user representation and suboptimal performance. Furthermore, through causal graph analysis, we have discovered that the scenario itself directly influences click behavior, yet existing approaches directly incorporate data from other scenarios during the training of the current scenario, leading to prediction biases when they directly utilize click behaviors from other scenarios to train models. To address these problems, we propose the Multi-Scenario Causal-driven Adaptive Network M-scan). This model incorporates a Scenario-Aware Co-Attention mechanism that explicitly extracts user interests from other scenarios that align with the current scenario. Additionally, it employs a Scenario Bias Eliminator module utilizing causal counterfactual inference to mitigate biases introduced by data from other scenarios. Extensive experiments on two public datasets demonstrate the efficacy of our M-scan compared to the existing baseline models.","Thu, 11 Apr 2024 09:13:52 UTC (2,290 KB)"
"77","GAN-based iterative motion estimation in HASTE MRI","Mathias S. Feinler, Bernadette N. Hahn","Numerical Analysis (math.NA)","Magnetic Resonance Imaging allows high resolution data acquisition with the downside of motion sensitivity due to relatively long acquisition times. Even during the acquisition of a single 2D slice, motion can severely corrupt the image. Retrospective motion correction strategies do not interfere during acquisition time but operate on the motion affected data. Known methods suited to this scenario are compressed sensing (CS), generative adversarial networks (GANs), and explicit motion estimation. In this paper we propose an iterative approach which uses GAN predictions for motion estimation. The motion estimates allow to provide data consistent reconstructions and can improve reconstruction quality and reliability. With this approach, a clinical application of motion estimation is feasible without any further requirements on the acquisition trajectory i.e. no temporal redundancy is needed. We evaluate our proposed supervised network on motion corrupted HASTE acquisitions of brain and abdomen.","Thu, 11 Apr 2024 09:07:57 UTC (6,372 KB)"
"78","Bayesian Inference with Gaussian Processes for the Determination of Parton Distribution Functions","Alessandro Candido, Luigi Del Debbio, Tommaso Giani, Giacomo Petrillo","High Energy Physics - Phenomenology (hep-ph)","We discuss a Bayesian methodology for the solution of the inverse problem underlying the determination of parton distribution functions (PDFs). In our approach, Gaussian Processes (GPs) are used to model the PDF prior, while Bayes theorem is used in order to determine the posterior distribution of the PDFs given a set of data. We discuss the general formalism, the Bayesian inference at the level of both parameters and hyperparameters, and the simplifications which occur when the observable entering the analysis is linear in the PDF. We benchmark the new methodology in two simple examples for the determination of a single PDF flavor from a set of Deep Inelastic Scattering (DIS) data and from a set of equal-time correlators computed using lattice QCD. We discuss our results, showing how the proposed methodology allows for a well-defined statistical interpretation of the different sources of errors entering the PDF uncertainty, and how results can be validated a posteriori.","Thu, 11 Apr 2024 09:03:52 UTC (442 KB)"
"79","Orbital dynamics in the GG Tau A system: investigating its enigmatic disc","Claudia Toci, Simone Ceppi, Nicolás Cuello, Gaspard Duchêne, Enrico Ragusa, Giuseppe Lodato, Francesca Farina, François Ménard, Hossam Aly","Earth and Planetary Astrophysics (astro-ph.EP)","GG Tau is one of the most studied multiple young stellar systems: GG Tau A is a hierarchical triple surrounded by a massive disc and its companion, GG Tau B, is also a binary. Despite numerous observational attempts, an understanding of the geometry of the GG Tau A system is still elusive. We provide new astrometric measures of the system and we run a set of hydrodynamical simulations with two representative orbits to test how they impact a disc composed of dust and gas. We test the dynamical evolution of the two scenarios on short and long timescales. We obtain synthetic flux emission from our simulations and we compare them with 1300 $\mu$m ALMA dust continuum emission and 1.67 $\mu$m SPHERE dust scattering images to infer the most likely orbital arrangement. We extend the analysis of the binary orbital parameters using six new epochs from archival data, showing that the current measurements alone are not capable of breaking the degeneracy between families of coplanar and misaligned orbits. We found that the time-scale for the onset of the disc eccentricity growth, $\tau_{ecc}$, is a fundamental time-scale for the morphology of the system. Results from numerical simulations show that the best match between is obtained with the misaligned configuration ($\Delta\theta= 30^\circ$) on timescales shorter than $\tau_{ecc}$. The results exhibit an almost circular cavity and dust ring. However, for both scenarios, the cavity size and its eccentricity quickly grow for timescales longer than $\tau_{ecc}$ and the models do not reproduce the observed morphology anymore. This implies that either the age of the system is shorter than $\tau_{ecc}$ or that the disc eccentricity growth is not triggered or dissipated. This finding raises questions on the future evolution of the GG Tau A system and, more in general, on the time evolution of eccentric binaries and their circumbinary discs.","Thu, 11 Apr 2024 08:51:50 UTC (9,675 KB)"
"80","Language Imbalance Can Boost Cross-lingual Generalisation","Anton Schäfer, Shauli Ravfogel, Thomas Hofmann, Tiago Pimentel, Imanol Schlag","Computation and Language (cs.CL)","Multilinguality is crucial for extending recent advancements in language modelling to diverse linguistic communities. To maintain high performance while representing multiple languages, multilingual models ideally align representations, allowing what is learned in one language to generalise to others. Prior research has emphasised the importance of parallel data and shared vocabulary elements as key factors for such alignment. In this study, we investigate an unintuitive novel driver of cross-lingual generalisation: language imbalance. In controlled experiments on perfectly equivalent cloned languages, we observe that the existence of a predominant language during training boosts the performance of less frequent languages and leads to stronger alignment of model representations across languages. Furthermore, we find that this trend is amplified with scale: with large enough models or long enough training, we observe that bilingual training data with a 90/10 language split yields better performance on both languages than a balanced 50/50 split. Building on these insights, we design training schemes that can improve performance in all cloned languages, even without altering the training data. As we extend our analysis to real languages, we find that infrequent languages still benefit from frequent ones, yet whether language imbalance causes cross-lingual generalisation there is not conclusive.","Thu, 11 Apr 2024 17:58:05 UTC (4,890 KB)"
"81","OSWorld: Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments","Tianbao Xie, Danyang Zhang, Jixuan Chen, Xiaochuan Li, Siheng Zhao, Ruisheng Cao, Toh Jing Hua, Zhoujun Cheng, Dongchan Shin, Fangyu Lei, Yitao Liu, Yiheng Xu, Shuyan Zhou, Silvio Savarese, Caiming Xiong, Victor Zhong, Tao Yu","Artificial Intelligence (cs.AI)","Autonomous agents that accomplish complex computer tasks with minimal human interventions have the potential to transform human-computer interaction, significantly enhancing accessibility and productivity. However, existing benchmarks either lack an interactive environment or are limited to environments specific to certain applications or domains, failing to reflect the diverse and complex nature of real-world computer use, thereby limiting the scope of tasks and agent scalability. To address this issue, we introduce OSWorld, the first-of-its-kind scalable, real computer environment for multimodal agents, supporting task setup, execution-based evaluation, and interactive learning across various operating systems such as Ubuntu, Windows, and macOS. OSWorld can serve as a unified, integrated computer environment for assessing open-ended computer tasks that involve arbitrary applications. Building upon OSWorld, we create a benchmark of 369 computer tasks involving real web and desktop apps in open domains, OS file I/O, and workflows spanning multiple applications. Each task example is derived from real-world computer use cases and includes a detailed initial state setup configuration and a custom execution-based evaluation script for reliable, reproducible evaluation. Extensive evaluation of state-of-the-art LLM/VLM-based agents on OSWorld reveals significant deficiencies in their ability to serve as computer assistants. While humans can accomplish over 72.36% of the tasks, the best model achieves only 12.24% success, primarily struggling with GUI grounding and operational knowledge. Comprehensive analysis using OSWorld provides valuable insights for developing multimodal generalist agents that were not possible with previous benchmarks. Our code, environment, baseline models, and data are publicly available at this https URL.","Thu, 11 Apr 2024 17:56:05 UTC (40,911 KB)"
"82","An End-to-End Structure with Novel Position Mechanism and Improved EMD for Stock Forecasting","Chufeng Li, Jianyong Chen","Statistical Finance (q-fin.ST)","As a branch of time series forecasting, stock movement forecasting is one of the challenging problems for investors and researchers. Since Transformer was introduced to analyze financial data, many researchers have dedicated themselves to forecasting stock movement using Transformer or attention mechanisms. However, existing research mostly focuses on individual stock information but ignores stock market information and high noise in stock data. In this paper, we propose a novel method using the attention mechanism in which both stock market information and individual stock information are considered. Meanwhile, we propose a novel EMD-based algorithm for reducing short-term noise in stock data. Two randomly selected exchange-traded funds (ETFs) spanning over ten years from US stock markets are used to demonstrate the superior performance of the proposed attention-based method. The experimental analysis demonstrates that the proposed attention-based method significantly outperforms other state-of-the-art baselines. Code is available at this https URL.","Mon, 25 Mar 2024 15:23:22 UTC (1,088 KB)"
"83","Machine Learning-based Approach for Ex-post Assessment of Community Risk and Resilience Based on Coupled Human-infrastructure Systems Performance","Xiangpeng Li, Ali Mostafavi","Computers and Society (cs.CY)","There is a limitation in the literature of data-driven analyses for the ex-post evaluation of community risk and resilience, particularly using features related to the performance of coupled human-infrastructure systems. To address this gap, in this study we created a machine learning-based method for the ex-post assessment of community risk and resilience and their interplay based on features related to the coupled human-infrastructure systems performance. Utilizing feature groups related to population protective actions, infrastructure/building performance features, and recovery features, we examined the risk and resilience performance of communities in the context of the 2017 Hurricane Harvey in Harris County, Texas. These features related to the coupled human-infrastructure systems performance were processed using the K-means clustering method to classify census block groups into four distinct clusters then, based on feature analysis, these clusters were labeled and designated into four quadrants of risk-resilience archetypes. Finally, we analyzed the disparities in risk-resilience status of spatial areas across different clusters as well as different income groups. The findings unveil the risk-resilience status of spatial areas shaped by their coupled human-infrastructure systems performance and their interactions. The results also inform about features that contribute to high resilience in high-risk areas. For example, the results indicate that in high-risk areas, evacuation rates contributed to a greater resilience, while in low-risk areas, preparedness contributed to greater resilience.","Sun, 24 Mar 2024 19:32:23 UTC (2,889 KB)"
"84","Visualization for physics analysis improvement and applications in BESIII","Zhi-Jun Li, Ming-Kuan Yuan, Yun-Xuan Song, Yan-Gu Li, Jing-Shu Li, Sheng-Sen Sun, Xiao-Long Wang, Zheng-Yun You, Ya-Jun Mao","Data Analysis, Statistics and Probability (physics.data-an)","Modern particle physics experiments usually rely on highly complex and large-scale spectrometer devices. In high energy physics experiments, visualization helps detector design, data quality monitoring, offline data processing, and has great potential for improving physics analysis. In addition to the traditional physics data analysis based on statistical methods, visualization provides unique intuitive advantages in searching for rare signal events and reducing background noises. By applying the event display tool to several physics analyses in the BESIII experiment, we demonstrate that visualization can benefit potential physics discovery and improve the signal significance. With the development of modern visualization techniques, it is expected to play a more important role in future data processing and physics analysis of particle physics experiments.","Tue, 19 Mar 2024 10:26:48 UTC (1,990 KB)"
"85","Distributed Record Linkage in Healthcare Data with Apache Spark","Mohammad Heydari, Reza Sarshar, Mohammad Ali Soltanshahi","Distributed, Parallel, and Cluster Computing (cs.DC)","Healthcare data is a valuable resource for research, analysis, and decision-making in the medical field. However, healthcare data is often fragmented and distributed across various sources, making it challenging to combine and analyze effectively. Record linkage, also known as data matching, is a crucial step in integrating and cleaning healthcare data to ensure data quality and accuracy. Apache Spark, a powerful open-source distributed big data processing framework, provides a robust platform for performing record linkage tasks with the aid of its machine learning library. In this study, we developed a new distributed data-matching model based on the Apache Spark Machine Learning library. To ensure the correct functioning of our model, the validation phase has been performed on the training data. The main challenge is data imbalance because a large amount of data is labeled false, and a small number of records are labeled true. By utilizing SVM and Regression algorithms, our results demonstrate that research data was neither over-fitted nor under-fitted, and this shows that our distributed model works well on the data.","Sat, 9 Mar 2024 05:18:15 UTC (249 KB)"
"86","Rate-Optimal Non-Asymptotics for the Quadratic Prediction Error Method","Charis Stamouli, Ingvar Ziemann, George J. Pappas","Statistics Theory (math.ST)","We study the quadratic prediction error method -- i.e., nonlinear least squares -- for a class of time-varying parametric predictor models satisfying a certain identifiability condition. While this method is known to asymptotically achieve the optimal rate for a wide range of problems, there have been no non-asymptotic results matching these optimal rates outside of a select few, typically linear, model classes. By leveraging modern tools from learning with dependent data, we provide the first rate-optimal non-asymptotic analysis of this method for our more general setting of nonlinearly parametrized model classes. Moreover, we show that our results can be applied to a particular class of identifiable AutoRegressive Moving Average (ARMA) models, resulting in the first optimal non-asymptotic rates for identification of ARMA models.","Thu, 11 Apr 2024 17:36:28 UTC (45 KB)"
"87","Astrophysics and Nuclear Physics Informed Interactions in Dense Matter: Insights from PSR J0437-4715","Tuhin Malik, V. Dexheimer, Constança Providência","Nuclear Theory (nucl-th)","We investigate how vector and isovector interactions can be determined within the density regime of neutron stars, while fulfilling nuclear and astrophysics constrains. We make use of the Chiral Mean Field (CMF) model, a SU(3) nonlinear realization of the sigma model within the mean-field approximation, for the first time within a Bayesian analysis framework. We show that neutron-matter $\chi$EFT constraints at low density are only satisfied if the vector-isovector mixed interaction term is included, e.g., a $\omega^2\rho^2$ term. We also show the behavior of the model with respect to the conformal limit. We demonstrate that the CMF model is able to predict a value for the parameter $d_c$ related to the trace anomaly and its derivative takes values below 0.2 above four times saturation density within a hadronic model that does not include a phase transition to deconfined matter. We compare these effects with results from other (non-chiral) Relativistic Mean Field models to assess how different approaches to incorporating the same physical constraints affect predictions of neutron-star properties and dense matter equations of state. We also include data from the gravitation wave event GW230529 detected by the LIGO-Virgo-Kagra collaboration and the most recent radius measurement of PSR J0437-4715 from the NASA NICER mission. Our analysis reveals that this new NICER measurement leads to an average reduction of approximately $\sim 0.15$ km radius in the posterior of the neutron-star mass-radius relationship.","Thu, 11 Apr 2024 17:35:54 UTC (1,088 KB)"
"88","Robust elastic full-waveform inversion using an alternating direction method of multipliers with reconstructed wavefields","Kamal Aghazade, Ali Gholami, Hossein S. Aghamiry, Hamid Reza Siahkoohi","Numerical Analysis (math.NA)","Elastic full-waveform inversion (EFWI) is a process used to estimate subsurface properties by fitting seismic data while satisfying wave propagation physics. The problem is formulated as a least-squares data fitting minimization problem with two sets of constraints: Partial-differential equation (PDE) constraints governing elastic wave propagation and physical model constraints implementing prior information. The alternating direction method of multipliers is used to solve the problem, resulting in an iterative algorithm with well-conditioned subproblems. Although wavefield reconstruction is the most challenging part of the iteration, sparse linear algebra techniques can be used for moderate-sized problems and frequency domain formulations. The Hessian matrix is blocky with diagonal blocks, making model updates fast. Gradient ascent is used to update Lagrange multipliers by summing PDE violations. Various numerical examples are used to investigate algorithmic components, including model parameterizations, physical model constraints, the role of the Hessian matrix in suppressing interparameter cross-talk, computational efficiency with the source sketching method, and the effect of noise and near-surface effects.","Thu, 11 Apr 2024 17:25:23 UTC (16,221 KB)"
"89","Snake Story: Exploring Game Mechanics for Mixed-Initiative Co-creative Storytelling Games","Daijin Yang, Erica Kleinman, Giovanni Maria Troiano, Elina Tochilnikova, Casper Harteveld","Human-Computer Interaction (cs.HC)","Mixed-initiative co-creative storytelling games have existed for some time as a way to merge storytelling with play. However, modern mixed-initiative co-creative storytelling games predominantly prioritize story creation over gameplay mechanics, which might not resonate with all players. As such, there is untapped potential for creating mixed-initiative games with more complex mechanics in which players can engage with both co-creation and gameplay goals. To explore the potential of more prominent gameplay in mixed-initiative co-creative storytelling games, we created Snake Story, a variation of the classic Snake game featuring a human-AI co-writing element. To explore how players interact with the mixed-initiative game, we conducted a qualitative playtest with 11 participants. Analysis of both think-aloud and interview data revealed that players' strategies and experiences were affected by their perception of Snake Story as either a collaborative tool, a traditional game, or a combination of both. Based on these findings, we present design considerations for future development in mixed-initiative co-creative gaming.","Thu, 11 Apr 2024 16:40:24 UTC (1,038 KB)"
"90","Revisiting a drag partition model for canopy-like roughness elements","Elia Buono, Gabriel G. Katul, Davide Vettori, Davide Poggi, Costantino Manes","Fluid Dynamics (physics.flu-dyn)","Turbulent flows over a large surface area (S) covered by n obstacles experience an overall drag due to the presence of the ground and the protruding obstacles into the flow. The drag partition between the roughness obstacles and the ground is analyzed using an analytical model proposed by Raupach (1992) and is hereafter referred to as R92. The R92 is based on the premise that the wake behind an isolated roughness element can be described by a shelter area A and a shelter volume V. The individual sizes of A and V without any interference from other obstacles can be determined from scaling analysis for the spread of wakes. To upscale from an individual roughness element to n/S elements where wakes may interact, R92 adopted a background stress re-normalizing instead of reducing A or V with each element addition. This work shows that R92's approach only converges to a linear reduction in A and V for small n/S where wakes have low probability of interacting with one another. This probabilistic nature suggests that up-scaling from individual to multiple roughness elements can be re-formulated using stochastic averaging methods proposed here. The two approaches are shown to recover R92 under plausible conditions. Comparisons between R92 and available data on blocks and vegetation-like roughness elements confirm the practical utility of R92 and its potential use in large-scale models provided the relevant parameters accommodate certain features of the roughness element type (cube versus vegetation-like) and, to a lesser extent, their configuration throughout S.","Thu, 11 Apr 2024 16:27:43 UTC (359 KB)"
"91","Diagram Analysis of Iterative Algorithms","Chris Jones, Lucas Pesenti","Computational Complexity (cs.CC)","We study a general class of first-order iterative algorithms which includes power iteration, belief propagation and Approximate Message Passing (AMP), and many forms of gradient descent. When the input is a random matrix with i.i.d. entries, we present a new way to analyze these algorithms using combinatorial diagrams. Each diagram is a small graph, and the operations of the algorithm correspond to simple combinatorial operations on these graphs.
We prove a fundamental property of the diagrams: asymptotically, we can discard all of the diagrams except for the trees. The mechanics of first-order algorithms simplify dramatically as the algorithmic operations have particularly simple and interpretable effects on the trees. We further show that the tree-shaped diagrams are essentially a basis of asymptotically independent Gaussian vectors.
The tree approximation mirrors the assumption of the cavity method, a 40-year-old non-rigorous technique in statistical physics which has served as one of the most fundamental techniques in the field. We demonstrate the connection with the replica symmetric cavity method by ""implementing"" heuristic physics derivations into rigorous proofs. We rigorously establish that belief propagation is asymptotically equal to its associated AMP algorithm and we give a new simple proof of the state evolution formula for AMP.
These results apply when the iterative algorithm runs for constantly many iterations. We then push the diagram analysis to a number of iterations that scales with the dimension $n$ of the input matrix. We prove that for debiased power iteration, the tree diagram representation accurately describes the dynamic all the way up to $n^{\Omega(1)}$ iterations. We conjecture that this can be extended up to $n^{1/2}$ iterations but no further. Our proofs use straightforward combinatorial arguments akin to the trace method from random matrix theory.","Thu, 11 Apr 2024 16:10:52 UTC (1,097 KB)"
"92","The Power of Properties: Uncovering the Influential Factors in Emotion Classification","Tim Büchner, Niklas Penzel, Orlando Guntinas-Lichius, Joachim Denzler","Computer Vision and Pattern Recognition (cs.CV)","Facial expression-based human emotion recognition is a critical research area in psychology and medicine. State-of-the-art classification performance is only reached by end-to-end trained neural networks. Nevertheless, such black-box models lack transparency in their decision-making processes, prompting efforts to ascertain the rules that underlie classifiers' decisions. Analyzing single inputs alone fails to expose systematic learned biases. These biases can be characterized as facial properties summarizing abstract information like age or medical conditions. Therefore, understanding a model's prediction behavior requires an analysis rooted in causality along such selected properties. We demonstrate that up to 91.25% of classifier output behavior changes are statistically significant concerning basic properties. Among those are age, gender, and facial symmetry. Furthermore, the medical usage of surface electromyography significantly influences emotion prediction. We introduce a workflow to evaluate explicit properties and their impact. These insights might help medical professionals select and apply classifiers regarding their specialized data and properties.","Thu, 11 Apr 2024 16:01:00 UTC (895 KB)"
"93","Global solution and singularity formation for the supersonic expanding wave of compressible Euler equations with radial symmetry","Geng Chen, Faris A. El-Katri, Yanbo Hu, Yannan Shen","Analysis of PDEs (math.AP)","In this paper, we define the rarefaction and compression characters for the supersonic expanding wave of the compressible Euler equations with radial symmetry. Under this new definition, we show that solutions with rarefaction initial data will not form shock in finite time, i.e. exist global-in-time as classical solutions. On the other hand, singularity forms in finite time when the initial data include strong compression somewhere. Several useful invariant domains will be also given.","Thu, 11 Apr 2024 15:15:35 UTC (34 KB)"
"94","iPREFER: An Intelligent Parameter Extractor based on Features for BSIM-CMG Models","Zhiliang Peng, Yicheng Wang, Zhengwu Yuan, Xingsheng Wang","Systems and Control (eess.SY)","This paper introduces an innovative parameter extraction method for BSIM-CMG compact models, seamlessly integrating curve feature extraction and machine learning techniques. This method offers a promising solution for bridging the division between TCAD and compact model, significantly contributing to the Design Technology Co-Optimization (DTCO) process. The key innovation lies in the development of an automated IV and CV curve feature extractor, which not only streamlines the analysis of device IV and CV curves but also enhances the consistency and efficiency of data processing. Validation on 5-nm nanosheet devices underscores the extractor's remarkable precision, with impressively low fitting errors of 0.42% for CV curves and 1.28% for IV curves. Furthermore, its adaptability to parameter variations, including those in Equivalent Oxide Thickness and Gate Length, solidifies its potential to revolutionize the TCAD-to-compact model transition. This universal BSIM-CMG model parameter extractor promises to improve the DTCO process, offering efficient process optimization and accurate simulations for semiconductor device performance prediction.","Thu, 11 Apr 2024 15:10:10 UTC (898 KB)"
"95","Trials Factor for Semi-Supervised NN Classifiers in Searches for Narrow Resonances at the LHC","Benjamin Lieberman, Andreas Crivellin, Salah-Eddine Dahbi, Finn Stevenson, Nidhi Tripathi, Mukesh Kumar, Bruce Mellado","High Energy Physics - Phenomenology (hep-ph)","To mitigate the model dependencies of searches for new narrow resonances at the Large Hadron Collider (LHC), semi-supervised Neural Networks (NNs) can be used. Unlike fully supervised classifiers these models introduce an additional look-elsewhere effect in the process of optimising thresholds on the response distribution. We perform a frequentist study to quantify this effect, in the form of a trials factor. As an example, we consider simulated $Z\gamma$ data to perform narrow resonance searches using semi-supervised NN classifiers. The results from this analysis provide substantiation that the look-elsewhere effect induced by the semi-supervised NN is under control.","Thu, 11 Apr 2024 15:06:15 UTC (2,225 KB)"
"96","The Cattaneo-Christov approximation of Fourier heat-conductive compressible fluids","Timothée Crin-Barat, Shuichi Kawashima, Jiang Xu","Analysis of PDEs (math.AP)","We investigate the Navier-Stokes-Cattaneo-Christov (NSC) system in $\mathbb{R}^d$ ($d\geq3$), a model of heat-conductive compressible flows serving as a finite speed of propagation approximation of the Navier-Stokes-Fourier (NSF) system. Due to the presence of Oldroyd's upper-convected derivatives, the system (NSC) exhibits a \textit{lack of hyperbolicity} which makes it challenging to establish its well-posedness, especially in multi-dimensional contexts. In this paper, within a critical regularity functional framework, we prove the global-in-time well-posedness of (NSC) for initial data that are small perturbations of constant equilibria, uniformly with respect to the approximation parameter $\varepsilon>0$. Then, building upon this result, we obtain the sharp large-time asymptotic behaviour of (NSC) and, for all time $t>0$, we derive quantitative error estimates between the solutions of (NSC) and (NSF). To the best of our knowledge, our work provides the first strong convergence result for this relaxation procedure in the three-dimensional setting and for ill-prepared data.
The (NSC) system is partially dissipative and incorporates both partial diffusion and partial damping mechanisms. To address these aspects and ensure the large-time stability of the solutions, we construct localized-in-frequency perturbed energy functionals based on the hypocoercivity theory. More precisely, our analysis relies on partitioning the frequency space into \textit{three} distinct regimes: low, medium and high frequencies. Within each frequency regime, we introduce effective unknowns and Lyapunov functionals, revealing the spectrally expected dissipative structures.","Thu, 11 Apr 2024 14:52:25 UTC (70 KB)"
